acousticness,album,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,playlist,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0.543,Game Over,P-Square,0.828,268213,0.866,0,8,0.0951,-2.878,1,Afrobeats 2008 - 2010,36.0,0.182,102.0,4,7HfRKaXMxrMlVTmmyuOiFG,No One Like U,0.936
0.214,Young Executive,Nana Boroo,0.827,304720,0.877,4.89e-06,7,0.128,-5.11,1,Afrobeats 2008 - 2010,21.0,0.0766,114.981,4,1B7KwKvFDba1i5nUva8Cqk,Eha Ye De (Bebia Awo) (feat. S. K. Blinks),0.949
0.0395,D'banj Essentials,D'banj,0.767,256841,0.758,0,6,0.276,-7.067,1,Afrobeats 2008 - 2010,35.0,0.0793,104.983,4,6TARhI06IcFdWyVuuizLy1,Fall in Love,0.893
0.0169,Best of Richie,Richie Mensah,0.777,229143,0.723,0,1,0.369,-7.416,1,Afrobeats 2008 - 2010,4.0,0.072,105.034,4,4gMAUscHx1XOfrE47o6IF2,Yaaro,0.883
0.294,Solid Ground,Asem,0.838,244584,0.874,0,10,0.0237,-5.022,0,Afrobeats 2008 - 2010,8.0,0.29,100.043,4,0eOvfv0R0LNBUxvqLQ0UNu,No More Kpayor,0.957
0.106,Good or Bad,J. Martins,0.775,246573,0.836,2.3e-05,7,0.11,-4.628,0,Afrobeats 2008 - 2010,14.0,0.0465,107.979,4,5UkifgtpFATwXzIaNwZD6o,Good or Bad,0.93
0.134,Bo Wonsem Ma Me,Eazzy,0.876,213120,0.847,0.0114,7,0.115,-5.642,1,Afrobeats 2008 - 2010,17.0,0.22,124.95,4,3bmOO5OmZulcRddwdhDIsZ,Wengeze,0.759
0.494,Nigeria Gold (YouTube),P-Square,0.663,262707,0.811,0,11,0.0969,-5.453,0,Afrobeats 2008 - 2010,0.0,0.227,215.773,4,29qdAuTujxZn2iZspZrena,E No Easy,0.766
0.248,MI 2: The Movie,M.I. Abaga,0.81,169456,0.685,3.86e-05,1,0.155,-5.693,0,Afrobeats 2008 - 2010,23.0,0.0483,114.988,4,4nqeC4Hc6p7rUeaLrFJNks,Undisputed,0.876
0.323,Best of Richie,Richie Mensah,0.793,227454,0.701,0,6,0.133,-5.058,1,Afrobeats 2008 - 2010,2.0,0.154,109.936,4,1HPcQIx8x389AjmBaKnTRs,Intoxicated (feat. Sway),0.972
